AGX,Island,Airport,AgattiIsland
AMD,AhmedabadAirport,Ahmedabad
AJL,AizawlAirport,Aizawl
AKD,AkolaAirport,Akola
IXV,AlongAirport,Along
LKO,AmausiAirport,Lucknow
LUH,AmritsarAirport,Ludhiana
IXB,BagdograAirport,Bagdogra
IXE,BajpeAirport,Mangalore
IXL,BakulaRimpocheAirport,Leh
RGH,BalurghatAirport,Balurghat
IXD,BamrauliAirport,Allahabad
SHL,BarapaniAirport,Shillong
BEK,BareliAirport,Bareli
BEP,BellaryAirport,Bellary
BLR,BengaluruInternationalAirport,Bangalore
BUP,BhatindaAirport,Bhatinda
BHU,BhavnagarAirport,Bhavnagar
BHO,BhopalAirport,Bhopal
BBI,BhubaneswarAirport,Bhubaneswar
BKB,BikanerAirport,Bikaner
PAB,BilaspurAirport,Bilaspur
IXR,BirsaMundaInternationalAirport,Ranchi
GAU,BorjharAirport,Guwahati
CBD,CarNicobarAirport,CarNicobar
IXC,ChandigarhAirport,Chandigarh
MAA,ChennaiInternationalAirport,Chennai
BOM,ChhatrapatiShivajiInternationalAirport,Mumbai
IXU,ChikkalthanaAirport,Aurangabad
COK,CochinInternationalAirport,Kochi
COH,CoochBeharAirport,CoochBehar
CDP,CuddapahAirport,Cuddapah
UDR,DabokAirport,Udaipur
GOI,DabolimAirport,Goa
NMB,DamanAirport,Daman
DAE,DaparizoAirport,Daparizo
DAI,DarjeelingAirport,Darjeeling
DED,DehraDunAirport,DehraDun
DEP,DeparizoAirport,Deparizo
IDR,DeviAhilyabaiHolkarAirport,Indore
DBD,DhanbadAirport,Dhanbad
DIB,DibrugarhAirport,Dibrugarh
DMU,DimapurAirport,Dimapur
DIU,DiuAirport,Diu
DHM,GaggalAirport,Dharamsala
ISK,GandhinagarAirport,Nasik
GAY,GayaAirport,Gaya
GOP,GorakhpurAirport,Gorakhpur
JGA,GovardhanpurAirport,Jamnagar
GUX,GunaAirport,Guna
GWL,GwaliorAirport,Gwalior
HSS,HissarAirport,Hissar
HBX,HubliAirport,Hubli
HYD,HyderabadInternationalAirport,Hyderabad
DEL,IndiraGandhiInternationalAirport,New Delhi
JLR,JabalpurAirport,Jabalpur
JGB,JagdalpurAirport,Jagdalpur
JSA,JaisalmerAirport,Jaisalmer
PYB,JeyporeAirport,Jeypore
JDH,JodhpurAirport,Jodhpur
IXH,KailashaharAirport,Kailashahar
IXQ,KamalpurAirport,Kamalpur
IXY,KandlaAirport,Kandla
KNU,KanpurAirport,Kanpur
IXK,KeshodAirport,Keshod
HJR,KhajurahoAirport,Khajuraho
AGR,KheriaAirport,Agra
IXN,KhowaiAirport,Khowai
KLH,KolhapurAirport,Kolhapur
KTU,KotaAirport,Kota
CCJ,KozhikodeAirport,Kozhikode
KUU,KulluManaliAirport,BhuntarKullu.
IXS,KumbhirgramAirport,Silchar
IXI,LilabariAirport,Lilabari
PNQ,LohegaonAirport,Pune
IXM,MaduraiAirport,Madurai
LDA,MaldaAirport,Malda
MOH,MohanbariAirport,Mohanbari
IMF,MunicipalAirport,Imphal
MZA,MuzaffarnagarAirport,Muzaffarnagar
MZU,MuzaffarpurAirport,Muzaffarpur
MYQ,MysoreAirport,Mysore
NDC,NandedAirport,Nanded
CCU,NetajiSubhashChandraBoseInternationalAirport,Kolkata
NVY,NeyveliAirport,Neyveli
OMN,OsmanabadAirport,Osmanabad
PGH,PantnagarAirport,Pantnagar
IXT,PasighatAirport,Pasighat
IXP,PathankotAirport,Pathankot
PAT,PatnaAirport,Patna
CJB,PeelameduAirport,Coimbatore
PNY,PondicherryAirport,Pondicherry
PBD,PorbandarAirport,Porbandar
IXZ,PortBlairAirport,PortBlair
PUT,PuttaparthiAirport,Puttaparthi
RPR,RaipurAirport,Raipur
ATQ,RajaSansiAirport,Amritsar
RJA,RajahmundryAirport,Rajahmundry
RAJ,RajkotAirport,Rajkot
RJI,RajouriAirport,Rajouri
RMD,RamagundamAirport,Ramagundam
RTC,RatnagiriAirport,Ratnagiri
REW,RewaAirport,Rewa
RRK,RourkelaAirport,Rourkela
JRH,RowriahAirport,Jorhat
BHJ,RudraMataAirport,Bhuj
RUP,RupsiAirport,Rupsi
SXV,SalemAirport,Salem
TEZ,SalonibariAirport,Tezpur
IXG,SambreAirport,Belgaum
JAI,SanganeerAirport,Jaipur
TNI,SatnaAirport,Satna
IXJ,SatwariAirport,Jammu
SSE,SholapurAirport,Sholapur
SLV,SimlaAirport,Simla
IXA,SingerbhilAirport,Agartala
IXW,SonariAirport,Jamshedpur
NAG,SonegaonAirport,Nagpur
SXR,SrinagarAirport,Srinagar
STV,SuratAirport,Surat
TEI,TezuAirport,Tezu
TJV,ThanjavurAirport,Thanjavur
TRV,ThiruvananthapuramInternationalAirport,Trivandrum
TIR,TirupatiAirport,Tirupati
TRZ,TrichyAirport,Trichy
TCR,TuticorinAirport,Tuticorin
BDQ,VadodaraAirport,Vadodara
VNS,VaranasiAirport,Varanasi
VGA,VijayawadaAirport,Vijayawada
VTZ,VishakhapatnamAirport,Vishakhapatnam
WGC,WarangalAirport,Warangal
